conversation_id,tweet_id,text,turn_count,created_at
11645,11645,How do I get rid of this notification? @4305 @19762 @115858 @AppleSupport https://t.co/MF02cJYU5A,9,Mon Oct 30 14:43:46 +0000 2017
18886,18886,@AppleSupport my Apple Watch has been like this for 2 days any suggestions. Also tried to do a reboot but to no avail. https://t.co/06IgjQuApq,2,Wed Nov 22 13:03:33 +0000 2017
32398,32398,"@AppleSupport I’m late to the complaining party, but y’all I keep having to restart my phone just to make a call 🙄",2,Wed Nov 01 06:15:59 +0000 2017
35213,35213,@AppleSupport Hola/Hello! I can use the AirPods witch Bluetooth audio transmisor? Any model? This no... https://t.co/ULMExUlaoX,2,Wed Nov 01 10:08:24 +0000 2017
35289,35289,@AppleSupport did update on 📱 n ⌚️ result? No more Twitter notifications😱 Yup mirrors my 📱 #itsalwayssomething,9,Wed Nov 01 13:08:55 +0000 2017
41681,41681,@115858 what have you done to my phone with the latest update?! Please fix it. The freezing is tedious and every1 is complaining #back2the90s,3,Wed Nov 01 12:49:18 +0000 2017
60309,60309,I️ updated my phone and this shit still not working ! @AppleSupport,2,Wed Nov 01 20:23:34 +0000 2017
81822,81822,"Dear @115858, when are you guys going to address the situation involving the letter “I️”?  Meanwhile I️ see there’s already an update for issues with IPhone X 🙄. Don’t be a douche, get that shit together. I️ spend to much money on y’all for it not to be fixed still. Thanks. https://t.co/pfMPlRpoMo",2,Thu Nov 30 04:54:40 +0000 2017
92531,92531,@AppleSupport Why are you not warning customers about the elaborate scam I just experienced yesterday?!?,2,Thu Nov 30 14:15:33 +0000 2017
92646,92646,@115858 @AppleSupport anything I can do about this? https://t.co/wnjMy30i7M,2,Thu Nov 30 13:36:37 +0000 2017
92803,92803,Everytime I open my @115948 it freezes and I have the latest update. Help!? @AppleSupport,3,Wed Nov 29 17:29:14 +0000 2017
94741,94741,@115858 Can someone please explain the bug in icloud mail online where I can't reply to some emails because the email pops up and fills the entire screen without leaving any room for a reply?,5,Thu Nov 30 15:16:00 +0000 2017
94862,94862,@115858 @AppleSupport Merci pour cette dernière mise à jour qui a planté mon Mac et j’ai perdu toutes mes données ! On en parle ?,2,Thu Nov 30 15:04:15 +0000 2017
109054,109054,Why is the Messenger app so glitchy on the @115858 Watch?! That is my main “text” app. 🤔😫,4,Thu Nov 23 16:15:57 +0000 2017
112897,112897,"@AppleSupport, trade-in phone is due but my new phone hasn’t delivered. Help!",2,Thu Nov 23 20:15:38 +0000 2017
115992,115992,@AppleSupport bizarre battery problems on iOS 11.1.2. Went out for a short walk. Started at 77%. 30 minutes later never went on my phone; down to 1%! Reset the phone - back up to 71%. I do have an Apple Watch but I don’t think Bluetooth with an Apple Watch draws it down that much,2,Thu Nov 23 21:30:45 +0000 2017
127641,127641,"As if my flight weren't already a garbage fire, there was this https://t.co/TfIYpm42pe",3,Fri Nov 24 03:52:28 +0000 2017
143555,143555,@AppleSupport why is the 6s having a glitch issue with the WiFi on iOS 11.1.2 ? Can’t connect at all,2,Fri Nov 24 04:29:04 +0000 2017
148168,148168,"‘What’s new in iOS 11?’ The fact that it deleted my carrier, and I now need to do a hard factory reset to be able to do anything when not on WiFi 🙃🙃🙃🙃 yet another problem with @115858",2,Fri Nov 24 10:54:52 +0000 2017
148252,148252,"@AppleSupport Why so many bugs on IOS 11 for iPad and iPhone 6. Slow, slow. All is slow. Appstore updates slow and freeze. The IOS 11 is just catastrophic for old devices. The same problems with iPod last version. On iPhone 6, 6 times on 10  Touch-ID don’t works ! I’m hangry",2,Fri Nov 24 10:01:05 +0000 2017
151453,151453,"@115858 @AppleSupport i tried to search a contact, contacts greyed out but keypad dint come up...what have you done in ios11...worst ios https://t.co/vguEvqkKp9",9,Mon Nov 13 11:17:29 +0000 2017
181453,181453,"🤔hmm the phone keeps shutting down outside when its around 0...so basically 1/2 the year.🙄

I wonder why. Hmm🤔 
oh WHAT a suprise Apples headquarters is placed in California ☀️☀️😂🙏🏻 THAT makes sense. Shocker💁🏼🇸🇪 @115858",2,Sat Nov 25 01:33:24 +0000 2017
188317,188317,Can you help @AppleSupport? My iPhone 6’s gps it does not work.,2,Wed Oct 04 16:44:05 +0000 2017
188506,188506,The new @115858 podcast app is so terrible. Please fix it,5,Tue Oct 03 14:14:44 +0000 2017
211236,211236,I don’t understand how my phone was at 100% at 8:30am and it’s only 10:57am and this shit at 48% wtf @115858 gmfu I got a 7 plus,4,Wed Oct 04 17:58:04 +0000 2017
233958,233958,"@115858 stop making my phone run like crap just bc you made a new model, I DONT HAVE $1K EVERY YEAR TO DROP ON U!! LET ME SIT HERE W/ MY 6S!",4,Thu Oct 05 03:45:17 +0000 2017
234652,234652,Interesting how I recently updated my phone and now my touch ID rarely works @115858 I'm not buying the fucking iPhone 8 your plan won't work,2,Thu Oct 05 04:54:55 +0000 2017
242356,242356,"@AppleSupport não aguento mais carregar meu celular não seus fodido, terei que ir pro iOS 10 novamente?",4,Fri Sep 29 21:48:26 +0000 2017
243032,243032,Apple Podcast is not played continuously on #iOS11   Is there a solution to this problem? @AppleSupport,4,Wed Oct 04 00:07:40 +0000 2017
